img_x,img_y,dem_x,dem_y
5815.2001953125,3057.60009765625,31912.70703125,14024.44921875
5548.80029296875,3633.60009765625,31912.708984375,14023.7587890625
3893.0,2754.0,16905.6015625,400.8000183105469
5274.0,3814.800048828125,31793.572265625,8531.5556640625
4986.0,3565.2001953125,30297.791015625,14061.5
5666.400390625,1484.4000244140625,25783.146484375,14144.02734375
4929.86083984375,1881.17041015625,31775.65625,7850.75146484375
4871.52001953125,1586.8800048828125,14528.400390625,14256.0009765625
5188.3203125,2136.960205078125,31703.0,14031.0
4817.66455078125,2776.896240234375,1702.800048828125,14223.6005859375
4908.958984375,1624.375732421875,30260.162109375,14061.6005859375
5376.0,3842.400146484375,26697.603515625,14129.5126953125
5258.3046875,1978.5601806640625,31567.201171875,14034.0009765625
1181.0,3726.0,31762.80078125,7288.80029296875
5479.28173828125,1537.7821044921875,31725.4921875,5618.42919921875
5478.0,1617.0,30110.40234375,14065.9208984375
4860.0,1569.60009765625,21660.333984375,354.7350158691406
5270.26318359375,1582.5718994140625,31154.400390625,14042.880859375
4923.2919921875,1866.8377685546875,31683.6015625,3805.2001953125
5475.10205078125,1469.1046142578125,8183.5205078125,419.0400085449219
2766.0,2968.800048828125,31563.6015625,14035.2001953125
4576.0,3137.0,31474.80078125,14035.2001953125
5422.0,1618.0,13999.4912109375,14257.48046875
3890.400146484375,2757.60009765625,30730.80078125,14053.2001953125
5417.07373046875,1607.455078125,31834.80078125,14029.2001953125
5897.31982421875,1576.5999755859375,15400.62890625,14251.8544921875
5255.3330078125,1979.7078857421875,31838.0,14028.0
4311.3603515625,2540.16015625,31760.400390625,7153.2001953125
